name,BIN,sell_price
Dele Alli,1800,2200
Kimmich,1000,1500
Ousmane Dembélé,3500,4000
Renato Júnior Luz Sanches,6400,7500
Christian Pulisic,1000,1500
Thomas Lemar,1100,1600
Alphonse Areola,1100,1600
Sergio Roberto,1100,1600
Samuel Umtiti,4500,5500
Nilsson Lindelöf,550,800
